RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F1-P1.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F1-P1
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 10914
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.227375 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.182, -0.984, 1.280, -0.984, 0.000, 0.000, 1.271, -0.985, -5.000, -27.000, 0.000, Forward, 0.20, 3.44, 51.2, 0.131
63, 1/3, 1.004, -0.970, 0.000, 0.000, 0.000, 0.000, 0.923, -0.975, -5.000, -23.000, 0.000, Forward, 1.93, 4.73, 60.9, 0.106
80, 1/3, 1.734, -0.990, 0.000, 0.000, 0.000, 0.000, 2.188, -0.991, -5.000, -22.000, 0.000, Forward, -5.36, -0.80, 22.6, 0.161
100, 1/3, 1.313, -0.987, 1.803, -0.994, 0.000, 0.000, 1.793, -0.994, -5.000, -26.000, 0.000, Forward, -0.65, 1.81, 46.3, 0.127
125, 1/3, 1.876, -0.993, 1.591, -0.992, 0.000, 0.000, 1.586, -0.995, -5.000, -29.000, 0.000, Forward, -6.22, -2.40, 19.3, 0.166
160, 1/3, 1.818, -0.979, 1.910, -0.994, 1.924, -0.998, 1.924, -0.998, -5.000, -35.000, 0.000, Forward, -3.84, -1.54, 29.2, 0.164
200, 1/3, 1.701, -0.972, 1.447, -0.997, 1.627, -0.996, 1.669, -0.997, -5.000, -43.000, 0.000, Forward, -6.44, -3.57, 18.5, 0.170
250, 1/3, 1.854, -0.992, 1.591, -0.995, 1.632, -0.998, 1.627, -0.999, -5.000, -42.000, 0.000, Forward, -4.21, -0.28, 27.5, 0.151
315, 1/3, 2.067, -0.996, 1.540, -0.996, 1.670, -0.995, 1.564, -0.998, -5.000, -31.000, 0.000, Forward, -1.67, -0.52, 40.5, 0.138
400, 1/3, 1.921, -0.965, 1.506, -0.994, 1.571, -0.997, 1.637, -0.999, -5.000, -51.000, 0.000, Forward, 2.44, 3.08, 63.7, 0.093
500, 1/3, 1.279, -0.992, 1.528, -0.998, 1.613, -0.999, 1.628, -0.999, -5.000, -40.000, 0.000, Forward, 0.25, 2.44, 51.5, 0.090
630, 1/3, 1.288, -0.995, 1.728, -0.991, 1.734, -0.997, 1.808, -0.998, -5.000, -44.000, 0.000, Forward, -3.34, 0.25, 31.7, 0.116
800, 1/3, 1.457, -0.979, 1.702, -0.998, 1.725, -0.999, 1.709, -0.999, -5.000, -34.000, 0.000, Forward, -0.08, 3.29, 49.6, 0.097
1000, 1/3, 1.497, -0.987, 1.718, -0.997, 1.778, -0.999, 1.828, -0.999, -5.000, -49.000, 0.000, Forward, -0.18, 2.08, 48.9, 0.099
1250, 1/3, 1.606, -0.997, 1.640, -0.999, 1.743, -0.999, 1.662, -0.999, -5.000, -29.000, 0.000, Forward, -3.24, -0.26, 32.2, 0.118
1600, 1/3, 1.688, -0.999, 1.830, -0.999, 1.815, -0.999, 1.840, -1.000, -5.000, -41.000, 0.000, Forward, -3.49, -0.65, 30.9, 0.128
2000, 1/3, 1.784, -0.996, 1.776, -0.999, 1.814, -0.999, 1.873, -1.000, -5.000, -51.000, 0.000, Forward, -1.77, 0.88, 39.9, 0.114
2500, 1/3, 1.771, -0.996, 1.888, -0.999, 1.864, -1.000, 1.859, -1.000, -5.000, -42.000, 0.000, Forward, 0.57, 2.10, 53.3, 0.093
3150, 1/3, 1.758, -0.999, 1.695, -1.000, 1.725, -1.000, 1.705, -1.000, -5.000, -32.000, 0.000, Forward, -2.13, 0.15, 38.0, 0.119
4000, 1/3, 1.658, -0.997, 1.581, -1.000, 1.606, -1.000, 1.610, -1.000, -5.000, -37.000, 0.000, Forward, -0.36, 1.83, 47.9, 0.096
5000, 1/3, 1.455, -0.999, 1.409, -1.000, 1.430, -1.000, 1.405, -1.000, -5.000, -28.000, 0.000, Forward, -1.13, 1.31, 43.5, 0.099
6300, 1/3, 1.133, -0.997, 1.178, -1.000, 1.183, -1.000, 1.180, -1.000, -5.000, -34.000, 0.000, Forward, 0.48, 3.65, 52.7, 0.069
8000, 1/3, 0.936, -0.996, 0.974, -0.999, 0.999, -1.000, 1.005, -1.000, -5.000, -47.000, 0.000, Forward, 2.12, 5.09, 62.0, 0.051
10000, 1/3, 0.752, -0.996, 0.745, -0.999, 0.768, -1.000, 0.729, -1.000, -5.000, -22.000, 0.000, Forward, 3.10, 6.81, 67.1, 0.042

full, 1/3, 1.631, -0.999, 1.731, -1.000, 1.831, -0.999, 1.699, -1.000, -5.000, -22.000, 0.000, Forward, -0.75, 1.40, 45.7, 0.101

