RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 12:11:47
Measurement: Parlante F2-P6 12:11:36
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.0074297404 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000026884446 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.313, -0.937, 2.592, -0.983, 2.400, -0.987, 2.149, -0.991, -5.000, -41.000, 0.000, Forward, -2.08, 1.74, 38.2, 0.152
63, 1/3, 0.864, -0.972, 2.242, -0.982, 1.951, -0.990, 1.893, -0.990, -9.000, -40.000, 0.000, Forward, 3.22, 5.94, 67.7, 0.105
80, 1/3, 0.989, -0.988, 1.712, -0.988, 1.667, -0.993, 1.671, -0.998, -5.000, -48.000, 0.000, Forward, 3.31, 5.25, 68.2, 0.103
100, 1/3, 1.474, -0.989, 1.435, -0.973, 1.484, -0.992, 1.525, -0.993, -5.000, -37.000, 0.000, Forward, -3.16, 2.55, 32.6, 0.132
125, 1/3, 1.505, -0.987, 1.615, -0.978, 1.819, -0.990, 1.883, -0.993, -5.000, -45.000, 0.000, Forward, -3.42, 2.32, 31.3, 0.132
160, 1/3, 1.804, -0.941, 1.824, -0.989, 1.685, -0.993, 1.615, -0.996, -5.000, -50.000, 0.000, Forward, 2.52, 4.26, 64.1, 0.109
200, 1/3, 1.526, -0.984, 1.562, -0.994, 1.705, -0.995, 1.764, -0.998, -5.000, -49.000, 0.000, Forward, -4.87, -2.60, 24.6, 0.148
250, 1/3, 0.952, -0.989, 1.414, -0.997, 1.427, -0.996, 1.420, -0.997, -5.000, -39.000, 0.000, Forward, 0.81, 4.34, 54.7, 0.084
315, 1/3, 1.090, -0.987, 1.569, -0.995, 1.489, -0.997, 1.500, -0.998, -5.000, -44.000, 0.000, Forward, 2.30, 5.53, 62.9, 0.070
400, 1/3, 1.585, -0.974, 1.483, -0.995, 1.500, -0.997, 1.516, -0.998, -5.000, -38.000, 0.000, Forward, 2.18, 4.49, 62.3, 0.076
500, 1/3, 1.076, -0.992, 1.727, -0.998, 1.712, -0.999, 1.671, -1.000, -5.000, -54.000, 0.000, Forward, 1.32, 4.01, 57.5, 0.073
630, 1/3, 1.072, -0.973, 1.642, -0.999, 1.592, -0.999, 1.611, -0.999, -5.000, -38.000, 0.000, Forward, 4.29, 6.62, 72.9, 0.054
800, 1/3, 1.258, -0.959, 1.429, -0.997, 1.582, -0.997, 1.684, -0.999, -5.000, -56.000, 0.000, Forward, 3.97, 6.80, 71.4, 0.049
1000, 1/3, 0.752, -0.946, 1.615, -0.998, 1.707, -0.999, 1.771, -1.000, -9.000, -56.000, 0.000, Forward, 7.11, 8.81, 83.7, 0.035
1250, 1/3, 0.716, -0.982, 1.505, -0.996, 1.617, -0.998, 1.659, -0.999, -9.000, -38.000, 0.000, Forward, 5.75, 8.35, 79.0, 0.039
1600, 1/3, 1.161, -0.980, 1.580, -0.999, 1.688, -0.999, 1.594, -0.999, -5.000, -27.000, 0.000, Forward, 3.66, 5.59, 69.9, 0.060
2000, 1/3, 1.400, -0.976, 1.570, -0.999, 1.674, -0.999, 1.711, -0.999, -5.000, -46.000, 0.000, Forward, 2.94, 4.69, 66.3, 0.067
2500, 1/3, 1.353, -0.975, 1.599, -0.999, 1.677, -0.999, 1.600, -1.000, -5.000, -26.000, 0.000, Forward, 2.29, 5.28, 62.9, 0.065
3150, 1/3, 1.119, -0.987, 1.617, -0.999, 1.655, -1.000, 1.710, -1.000, -5.000, -54.000, 0.000, Forward, 3.44, 4.92, 68.8, 0.060
4000, 1/3, 1.077, -0.987, 1.485, -0.998, 1.537, -0.999, 1.572, -1.000, -5.000, -53.000, 0.000, Forward, 3.62, 6.07, 69.7, 0.051
5000, 1/3, 0.867, -0.983, 1.322, -0.999, 1.377, -0.999, 1.414, -1.000, -5.000, -60.000, 0.000, Forward, 4.66, 7.56, 74.5, 0.043
6300, 1/3, 0.755, -0.986, 1.160, -0.999, 1.161, -1.000, 1.186, -1.000, -5.000, -53.000, 0.000, Forward, 5.75, 8.33, 79.0, 0.035
8000, 1/3, 0.470, -0.994, 0.903, -0.997, 0.930, -0.999, 0.950, -1.000, -5.000, -51.000, 0.000, Forward, 7.36, 10.64, 84.5, 0.026
10000, 1/3, 0.381, -0.991, 0.724, -0.991, 0.751, -0.997, 0.767, -0.999, -5.000, -54.000, 0.000, Forward, 8.39, 12.44, 87.4, 0.023

full, 1/3, 0.893, -0.987, 1.472, -0.999, 1.548, -0.999, 1.491, -0.999, -5.000, -28.000, 0.000, Forward, 4.80, 7.29, 75.1, 0.043

