RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 11:05:53
Measurement: Parlatnte F1-P7 11:05:44
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.00515123 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000018600337 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.743, -0.965, 2.651, -0.984, 2.081, -0.988, 2.858, -0.994, -5.000, -20.000, 0.000, Forward, 1.42, 4.79, 58.1, 0.159
63, 1/3, 1.499, -0.870, 2.479, -0.991, 1.964, -0.985, 1.990, -0.993, -5.000, -42.000, 0.000, Forward, -3.98, -2.96, 28.6, 0.166
80, 1/3, 1.535, -0.850, 2.214, -0.981, 2.141, -0.994, 2.127, -0.997, -5.000, -42.000, 0.000, Forward, -12.31, -10.89, 5.6, 0.180
100, 1/3, 1.716, -0.906, 2.064, -0.934, 2.008, -0.981, 1.987, -0.982, -5.000, -38.000, 0.000, Forward, -11.64, -7.69, 6.4, 0.183
125, 1/3, 2.333, -0.982, 1.226, -0.978, 1.515, -0.983, 1.304, -0.988, -5.000, -30.000, 0.000, Forward, -7.42, -4.24, 15.3, 0.205
160, 1/3, 1.783, -0.985, 1.471, -0.991, 1.525, -0.996, 1.524, -0.998, -5.000, -42.000, 0.000, Forward, -2.13, 1.33, 38.0, 0.125
200, 1/3, 0.938, -0.955, 1.639, -0.993, 1.625, -0.998, 1.538, -0.998, -5.000, -54.000, 0.000, Forward, -0.99, 5.81, 44.3, 0.090
250, 1/3, 1.102, -0.989, 1.278, -0.993, 1.362, -0.997, 1.387, -0.997, -5.000, -38.000, 0.000, Forward, -4.07, 2.49, 28.1, 0.102
315, 1/3, 1.078, -0.978, 1.398, -0.996, 1.480, -0.997, 1.509, -0.998, -5.000, -44.000, 0.000, Forward, 1.56, 4.93, 58.9, 0.073
400, 1/3, 1.155, -0.972, 1.678, -0.998, 1.457, -0.995, 1.685, -0.998, -5.000, -24.000, 0.000, Forward, 2.51, 5.40, 64.1, 0.077
500, 1/3, 1.436, -0.975, 1.377, -0.996, 1.484, -0.997, 1.598, -0.998, -5.000, -54.000, 0.000, Forward, -1.12, 2.87, 43.6, 0.092
630, 1/3, 1.534, -0.987, 1.528, -0.996, 1.620, -0.997, 1.646, -0.999, -5.000, -53.000, 0.000, Forward, 0.24, 3.13, 51.4, 0.088
800, 1/3, 1.096, -0.993, 1.568, -0.997, 1.572, -0.999, 1.654, -0.999, -5.000, -55.000, 0.000, Forward, 2.45, 5.14, 63.7, 0.066
1000, 1/3, 1.370, -0.943, 1.674, -0.998, 1.616, -0.999, 1.644, -0.999, -5.000, -55.000, 0.000, Forward, 4.78, 6.95, 75.0, 0.051
1250, 1/3, 0.739, -0.940, 1.617, -0.998, 1.611, -0.999, 1.626, -0.999, -9.000, -36.000, 0.000, Forward, 7.22, 8.69, 84.1, 0.035
1600, 1/3, 0.841, -0.955, 1.635, -0.997, 1.667, -0.999, 1.734, -1.000, -5.000, -55.000, 0.000, Forward, 6.63, 8.43, 82.1, 0.042
2000, 1/3, 1.023, -0.963, 1.622, -0.999, 1.703, -0.999, 1.753, -1.000, -5.000, -54.000, 0.000, Forward, 4.12, 6.62, 72.1, 0.058
2500, 1/3, 1.210, -0.968, 1.644, -0.999, 1.700, -0.999, 1.717, -1.000, -5.000, -41.000, 0.000, Forward, 3.63, 5.49, 69.8, 0.064
3150, 1/3, 0.981, -0.986, 1.611, -0.998, 1.626, -0.999, 1.702, -0.999, -5.000, -55.000, 0.000, Forward, 4.31, 6.72, 72.9, 0.050
4000, 1/3, 0.847, -0.974, 1.453, -0.999, 1.527, -0.999, 1.573, -1.000, -5.000, -60.000, 0.000, Forward, 4.49, 6.81, 73.8, 0.053
5000, 1/3, 0.730, -0.978, 1.321, -0.999, 1.345, -1.000, 1.396, -1.000, -5.000, -55.000, 0.000, Forward, 5.48, 7.91, 77.9, 0.043
6300, 1/3, 0.598, -0.989, 1.142, -0.998, 1.164, -0.999, 1.180, -1.000, -5.000, -50.000, 0.000, Forward, 5.67, 8.75, 78.7, 0.037
8000, 1/3, 0.430, -0.984, 0.943, -0.996, 0.918, -0.999, 0.921, -1.000, -9.000, -46.000, 0.000, Forward, 7.44, 10.68, 84.7, 0.030
10000, 1/3, 0.337, -0.962, 0.745, -0.992, 0.746, -0.998, 0.777, -1.000, -11.000, -52.000, 0.000, Forward, 9.18, 13.05, 89.2, 0.024

full, 1/3, 0.916, -0.980, 1.498, -0.999, 1.548, -1.000, 1.531, -1.000, -5.000, -32.000, 0.000, Forward, 4.34, 6.99, 73.1, 0.049

